is_number,year,title,revision,section,scope,key_requirements,reference
IS 12867 : 1989,1989,PVC HAND RAIL COVERS,,Builder's Hardware,"Covers the dimensions and requirements strip, suitably welded as part of the handrail, with a for PVC handrail covers for use on metal strip handrails. view to providing comforable grip. The common sizes shall suit metallic flats of width 25 mm, 40 mm, 50 mm","for PVC handrail covers for use on metal strip handrails. view to providing comforable grip. The common sizes | shall suit metallic flats of width 25 mm, 40 mm, 50 mm | 2. Material – Handrails covers are manufactured by and 65 mm. For general use handrail covers should be | ii) Tensile strength test Tensile strength shall not be les than 10 N/mm2 | iii) Elongation Minimum elongation shall be 115 percent | iv) Hardness Minimum value of Rockwell hardness number shall | v) Resistance to combustion The specimen shall not burn to the 25 mm mark and","For detailed information, refer to IS 12867 : 1989 Specification for PVC handrail covers."
IS 14912 : 2001,2001,DOOR CLOSERS - CONCEALED TYPE (HYDRAULICALLY REGULATED),,Builder's Hardware,"Requirement for concealed type 4. Requirements hydraulically operated door closers, fixed in concealed position within the thickness of the panel on vertical, a) Closing time shall be easily adjustable between hinge type doors opening to one side only and not 5 to 20 seconds by means of regu lating screws. weiging more than 80 kg. b) Hydraulic oil, filling shall work satisfactorily at This standard does not cover overhead type door closers all termperature between 50ºC and -10ºC without covered in IS 3564 : 1995* or pneumatic type door closers requiring any change except adjustment of the or closers working on only mechanical device. regulating screw.","weiging more than 80 kg. b) Hydraulic oil, filling shall work satisfactorily at | No. 1 Up to 60 kg Up to 850 mm | No. 2 60 to 80kg 851 to 1 000 mm | the standard. maximum load specified, the closure shall show no","For detailed information, refer to IS 14912 : 2001."
IS 12049 : 1987,1987,DIMENSIONS AND TOLERANCES RELATING TO WOOD BASED PANEL MATERIALS,,Wood Products,"Covers the dimensions, such as length, 2.2.2 Thickness –The thicknesses shall be as given in measurement for wood based panel materials. the specification. The wood based panels considered are plywood, 2.3 Blockboard blockboard, hardboard, fibre insulation board, particle 2.3.1 Sizes – Blockboards shall be of the sizes board, veneered particle board, particle board for specified below : insulation and high density particle board. Length Width",mm mm | mm mm 1800 × 1200 | mm mm | mm mm 2400 × 1200 | mm mm the specification. | 2400 × 1800 mm mm | Length Width 3.1.1 Length + 6 mm | mm mm – 0 mm | 3.1.2 Width + 3 mm | 2100 × 1200 – 0 mm | 1800 × 900 3.2 Edge Straightness – 2 mm per 1000 mm. | 2.6.2 Thickness – The thickness shall be as given in 3.3 Squareness – 2 mm per 1000 mm.,
IS 849 : 1994,1994,COLD SETTING CASE IN GLUE FOR WOOD,First Revision,Wood Products,"Requirements for cold setting casein glue under 3.1 for wet test. used in the wood panel industry, wood-work and joinery industry. 3.3 Test for Chloride Content –The aqueous extract of",mainly casein conforming to IS 850 : 1994*. When percent. This test shall only be conducted when | be not less than 270 kg and 45 kg (2 700 N and 450 N) for 4. Storage Properties –The glue after being,
IS 851 : 1978,1978,SYNTHETIC RESIN ADHESIVES FOR CONSTRUCTION WORK (NON-STRUCTURAL) IN WOOD,First Revision,Wood Products,Requirements for synthetic resin adhesives Type Symbol suitable for wood work (non-structural) and joinery.,"and up to the date recommended by the manufacturer. | Load, kg, Min BWP BWP | Test Pieces shall be immersed Immersion Load | C h kg | Test Pieces Shall be Immersed Immersion Load | h kg | not be less than 200 kg for all types | than 180 kg for all types.",
IS 852 : 1994,1994,ANIMAL GLUE FOR GENERAL WOOD-WORKING PURPOSES,Second Revision,Wood Products,"Requirements of animal glue for general circumstances), the supplier shall make good the wood-working purposes. deficiency in the mass delivered in the manner stated below:","purefaction or mould growth. M = average percentage moisture content. | 3.3 Storage Properties – The glue shall retain all the 3.5 Chloride – The chloride content shall not exceed 2 | properties specified under 3.1and 3.4 to 3.7 for at least percent calculated as sodium chloride. | be not greater than 14 percent and no individual value and tested shall be not less than 275 kg. | shall be greater than 18 percent. | than 14 percent (not to exceed 18 percent under any | 1. Scope – Requirements of different grades and types and the total length not more than | of plywood used for general purpuses. length not more 1000 mm/m 2 | 2. Grades iii) Discolo Nil 5 percent | into three types, namely, AA, AB and BB based on the of 200 mm | vii) Knots 2up to12 mm 4up to 20 mm dia/m2 | x) Knots 6 upto25 mm No Restriction",
IS 1328 : 1996,1996,VENEERED DECORATIVE PLYWOOD,Third Revision,Wood Products,"Covers types of plywood with ornamental surface shall be selected for figure, texture, colour and veneers on one or both faces used for decorative grain characteristics. It shall be free from all purposes, such as furniture making, panelling of all manufacturing and wood defects except to the extent kinds, including panelling for railway coaches, buses permitted above. and ships. 4.2 Type 2 — Open splits, checks, or open joints not","2. Grades and Types . more than 200 mm in length and 1 mm in width shall be | than 25 mm in diameter, and pin knots not more than 4 | 2.2 Decorative plywood shall be of two types, namely mm in diameter, shall be permissible. | 3. Materials – The species of timber commonly used and discolouration. Sapwood, if it does not affect the | specified by the purchaser. Commonly used species are | to IS 303 : 1989.* shall be 3 mm, 4 mm, 6 mm, 9 mm,12 mm, 19 mm or 25 mm. | 4.1 Type 1—Open splits, checks or open Joints not more a) Moisture content — Not less than 5 percent | than 150 mm in length and 0.5 mm in width shall be and more than15 percent. | shall be trimmed square within 3 mm and sanded to a","For detailed Information, refer to IS 1328 : 1996 Specification for veneered decorative plywood (third revision)."
IS 4990 : 1993,1993,PLYWOOD FOR CONCRETE SHUTTERING WORK,Second Revision,Wood Products,Requirements of plywood for concrete Note – Plywood boards for concrete shuttering may also be manufactured under the following alternative sizes if specified shuttering and form work. by the purchaser,"2. Types – Plywood for concrete shuttering work shall mm mm mm mm | 3-ply 4 mm | 3.1 Timber — Any species of timber may be used , 5 mm | However a list of species given in Annex B of the 6 mm | standard may be used for selection of species. 5-ply 6 mm | and shall conforn to BWP type specified in IS 848 : 7-ply 12 mm | 1974.+ 16 mm | 9-ply 16 mm | 4. Dimensions and Tolerances 19 mm | 4.1. Size More than 9- ply 22 mm | mm mm mm mm 4.3 Tolerances— The tolerances on the nomial sizes of | shall be not less than 1000 N (100 kgf) and no individual",
IS 5509 : 2000,2000,FIRE RETARDANT PLYWOOD,Second Revision,Wood Products,"Covers the fire retardant chemicals, method 5. Conditioning after Treatment – Plywood after of treatment, retentions and requirements of fire retardant treatment shall be conditioned to suitable equilibrium plywood. moisture content of not more than 20 percent.",plywood. moisture content of not more than 20 percent. | Type 1 Ammonium phosphate stain other than any uniform colour of the flame retardant | Type 3 Ammonium sulphate 8. Tests Requirement | Type 4 Combination of ammonium 8.1. Moisture Content – Shall not exceed 20 percent | phosphate and boron compounds 8.2 Flammability– The time taken for the second | Type 5 Combination of ammonium ignition shall not be less than 30 minutes. | sulphate and ammonium phosphate | from 30 percent to 70 percent shall not be less than 20 | have a moisture content of notexceeding 15 percent. 8.5 Other Tests – Glue shear strength in dry state,"For detailed information, refer to IS : 5509-1980. Specification for fire retardant plywood."
IS 5539 : 1969,1969,PRESERVATIVE TREATED PLYWOOD,,Wood Products,"Treatment of plywood for protection 4. Choice of Treatment – This is governed by the against fungi, termites and other insects and marine timber species in the plywood, sapwood content and borers and requiremments of preservatives treated use after treatment. Recommended practice on choice plywood. of preservative and amount of absorption and service","borers and requiremments of preservatives treated use after treatment. Recommended practice on choice | chrome composition, chromated zinc chloride conditioned to a moisture content of not more than 14 | and copper chrome boric composition. percent for interior use and 18 percent for exterior uses. | moisture content shall be between 6 and 14 percent. | not exceeding 16 percent and shall have been bonded | TABLE 1 RECOMMENDED PRACTICE FOR PRESERVATIVE TREATMENT | Sl. Service Conditions Timber used in Plywood Type of Mode of Minimum | Indian Standard on Plywood Recommemded Recommended kg/m 3 | Sl Service Conditions Timber used in plywood Type of Mode of Minimum | Indian Standard on Plywood Recommemded Recommended | ammunition boxes, exterior | on rail coaches and ship colour imparting process","For detailed information, refer to IS 5539 : 1969 Specification for preservative treated plywood."
IS 7316 : 1974,1974,DECORATIVE PLYWOOD USING PLURALITY OF VENEER FOR DECORATIVE FACES,,Wood Products,"Covers decorative plywood with 5. Tolerances ornamental faces produced by use of plurality of veneers Length up to 120 cm +3 mm meant for decorative use, such as interior panelling of – 0 mm buildings, buses, ships, etc. and for decorative furniture of all types. Length over 120 cm +6 mm – 0 mm","ornamental faces produced by use of plurality of veneers Length up to 120 cm +3 mm | of all types. Length over 120 cm +6 mm | Width up to 90 cm +3 mm | 2.1 Timber – Shall be according to IS 303 : 1989*. Non – 0 mm | Width above 90 cm +6 mm | 2.2 Adhesive – Synthetic resin adhesive BWR or WMR. Thickness = + 0.2 mm +5 percent of nominal | synthetic resin bonded type. = – 0.1 mm+2.5 percent of nominal | joints not more than 150 mm long and 0.5 mm wide, Rectangular panels shall have their | insert bonded with BWR or WWR adhesive. Decorative 9 mm | veneered surface shall be free from torn grain, dote, 6. Finish – Trimmed square and sanded to a smooth | Length 240, 210, 180, 150, 120 and 90 cm 7.1 Moisture Content— Not less than 5 percent and | not more than 15 percent .",
IS 10701 : 1983,1983,STRUCTURAL PLYWOOD,,Wood Products,"Requirements of plywood for structural 3. Plywood – Shall conform to BMP grade in purposes, such as stressed skin panels, plywood web accordance with IS 303 : 1989 +. beams, sheathing, silos, rail and ship containers. 4. Treatment – Shall be given preservative treatment",2.1 Timber –The species of timber recommended for | iii) Discolouration 3 percent of the area if it will 6 percent of the area if it | not impair the board properties. will not impair the board properties. | vi) Knots (dead) Nil 2 up to 12mm dia/m2 | Knots (tight) 3 up to 25 mm dia/m2 6 up to 25 mm dia/ m2 | vii) Split on each panel One split not more than 2 splits not more than | 0.8 mm wide and length 6 mm wide and length | 50mm provided it is filled 200 mm provided it is | 8.1 Moisture Content – Shall not be less than 5 percent | Length ± 6 mm and not more than 15 percent. | Width ± 3 mm 8.2 Glue Shear Strength in Dry State— See Table 2 | } ±10 percent 8.4 Resistance to Micro Organism — See Table 2,"For detailed information, refer to IS 10701:1983 specification for Structural plywood."
IS 13957 : 1994,1994,METAL FACED PLYWOOD,,Wood Products,"Covers manufacture and requirements of metal faced plywood composite. The scope is limited to TABLE 1 THICKNESS OF METAL FACED the use of galvanized iron sheet or aluminium sheet PLYWOOD only, as metal sheet. Board Thickness",2. Materials mm,"For detailed Information, refer to IS 13957 : 1994.Specification for metal faced plywood."
IS 1658 : 1977,1977,FIBRE HARD BOARDS,Second Revision,Wood Products,"Requirements of fibre hardboards for 4. Requirements general purposes. This standard does not cover requirements of insulation boards, wood particle boards Thickness Bending Water Absorption (chip boards), and similar boards. Strength after 24th immersion (Modulus of Percent","(chip boards), and similar boards. Strength after 24th immersion | (Modulus of Percent | properties: mm Mpa Max | a) Thickness (mm) 5 | Tolerance(mm) ± 0.5 ±0.7 ±0.7 ±0.9 | b) Width 1.2 m; tolerance ±0.3 mm drilled ,sawed or nailed perpendicular to the | tolerance ± 0.5 mm b) Shall be free from warp. | two diagonals shall exceed ±3 mm per metre","For detailed information, refer to IS 1658 : 1977 Specification for fibre hardboards (second revision)."
